City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sibu,75,MY,1584526639,74,2.3,111.82,86.0,11.41
flinders,1,AU,1584526641,82,-34.58,150.86,70.0,3.36
bawku,19,GH,1584526642,33,11.06,-0.24,94.08,14.16
lavrentiya,100,RU,1584526643,89,65.58,-171.0,22.98,11.63
saint-philippe,40,RE,1584526644,66,-21.36,55.77,87.8,10.29
albany,20,US,1584526473,50,42.6,-73.97,33.8,5.82
mukhen,100,RU,1584526646,87,48.1,136.1,30.72,6.82
okato,0,NZ,1584526647,63,-39.2,173.88,52.0,3.0
butembo,100,CD,1584526648,80,0.15,29.28,71.76,3.49
havre-saint-pierre,90,CA,1584526649,86,50.23,-63.6,28.4,23.04
portland,90,US,1584526651,80,45.52,-122.68,43.0,4.7
ruwi,20,OM,1584526652,69,23.6,58.55,78.8,10.29
monterey,40,US,1584526653,75,36.25,-121.25,44.6,8.05
ahipara,0,NZ,1584526654,70,-35.17,173.17,62.22,12.28
norman wells,75,CA,1584526655,85,65.28,-126.83,14.0,9.17
isangel,90,VU,1584526656,83,-19.55,169.27,77.0,18.79
kodiak,1,US,1584526657,51,57.79,-152.41,37.4,27.51
raudeberg,40,NO,1584526658,70,61.99,5.14,42.8,23.04
husavik,75,IS,1584526659,74,66.04,-17.34,30.2,24.16
bayanday,25,RU,1584526661,69,53.07,105.51,26.4,0.6
sabang,71,ID,1584526662,74,5.89,95.32,83.62,11.01
san francisco,90,US,1584526376,81,37.77,-122.42,48.99,4.7
nizhniy kuranakh,100,RU,1584526664,90,58.84,125.49,23.32,4.32
melilla,90,ES,1584526665,88,35.29,-2.94,62.6,17.22
ribeira grande,75,PT,1584526666,93,38.52,-28.7,62.6,16.11
vanimo,100,PG,1584526667,80,-2.67,141.3,83.62,12.08
krasnoselkup,99,RU,1584526668,79,65.7,82.47,20.1,21.09
nkowakowa,40,ZA,1584526670,68,-23.89,30.29,68.0,10.29
vaini,75,TO,1584526671,83,-21.2,-175.2,77.0,5.82
airai,52,TL,1584526672,80,-8.93,125.41,72.48,4.59
bambous virieux,75,MU,1584526673,62,-20.34,57.76,86.0,17.22
srednekolymsk,6,RU,1584526674,95,67.45,153.68,-11.58,4.72
sur,0,OM,1584526675,35,22.57,59.53,81.48,11.5
cayenne,75,GF,1584526677,94,4.93,-52.33,75.2,1.12
tiksi,0,RU,1584526678,88,71.69,128.87,-30.48,8.55
broome,1,US,1584526679,80,42.25,-75.83,30.2,3.33
catuday,0,PH,1584526680,73,16.29,119.81,81.3,11.48
springdale,90,US,1584526681,100,36.19,-94.13,59.0,4.7
valkeala,75,FI,1584526682,80,60.94,26.8,41.0,10.29
karatau,14,KZ,1584526683,51,43.17,70.47,59.16,6.11
itaituba,86,BR,1584526684,98,-4.28,-55.98,71.92,0.96
evanston,1,US,1584526415,55,42.04,-87.69,39.2,8.05
taoudenni,100,ML,1584526687,13,22.68,-3.98,78.96,9.73
port alfred,0,ZA,1584526688,81,-33.59,26.89,70.0,5.99
akyab,0,MM,1584526689,61,20.15,92.9,81.3,23.44
faanui,100,PF,1584526690,70,-16.48,-151.75,83.46,5.82
mahebourg,75,MU,1584526691,62,-20.41,57.7,86.0,17.22
bathsheba,20,BB,1584526692,78,13.22,-59.52,77.0,13.87
makakilo city,90,US,1584526693,83,21.35,-158.09,75.2,3.36
carnarvon,99,AU,1584526694,61,-24.87,113.63,80.6,20.8
terrace,5,CA,1584526695,69,54.52,-128.6,33.8,13.87
sola,75,VU,1584526696,94,-13.88,167.55,78.8,8.79
batsfjord,75,NO,1584526698,97,70.63,29.72,32.0,19.46
yukon,100,US,1584526699,93,35.51,-97.76,55.99,8.05
kirakira,98,SB,1584526700,83,-10.45,161.92,79.12,2.73
jega,97,NG,1584526701,5,12.22,4.38,90.3,9.55
ryazhsk,91,RU,1584526702,55,53.7,40.11,42.6,14.88
klyuchevskiy,100,RU,1584526703,77,53.53,119.45,31.26,6.4
faya,90,SA,1584526704,93,18.39,42.45,64.4,11.41
finschhafen,31,PG,1584526705,76,-6.6,147.87,82.2,3.71
huarmey,100,PE,1584526707,70,-10.07,-78.15,73.02,1.25
busselton,1,AU,1584526708,33,-33.65,115.33,64.99,18.34
arraial do cabo,0,BR,1584526709,88,-22.97,-42.03,75.2,5.82
alekseyevsk,60,RU,1584526710,84,57.84,108.35,23.32,9.69
walvis bay,15,NA,1584526413,86,-22.96,14.51,68.0,3.0
alta gracia,40,AR,1584526712,100,-31.65,-64.43,60.01,6.93
anzio,0,IT,1584526713,68,41.49,12.62,66.0,5.82
chuy,100,UY,1584526714,73,-33.7,-53.46,69.22,16.17
chimoio,75,MZ,1584526716,60,-19.12,33.48,75.2,5.03
wasilla,90,US,1584526717,92,61.58,-149.44,30.0,2.8
north bend,90,US,1584526504,87,43.41,-124.22,45.0,1.28
terrace bay,87,CA,1584526719,89,48.78,-87.1,13.26,2.08
asau,40,RO,1584526720,37,46.43,26.4,55.4,8.05
amga,100,RU,1584526721,92,60.9,131.96,10.56,5.66
lagoa,20,PT,1584526722,84,39.05,-27.98,62.58,18.61
ratlam,0,IN,1584526723,13,23.32,75.07,95.52,6.55
bahia blanca,4,AR,1584526520,90,-38.72,-62.27,58.98,4.9
saint-francois,2,FR,1584526726,62,46.42,3.91,60.01,3.36
nemuro,20,JP,1584526727,74,43.32,145.57,35.6,4.7
port elizabeth,1,ZA,1584526728,64,-33.92,25.57,73.4,25.28
riyadh,20,SA,1584526729,25,24.69,46.72,86.0,9.17
araguacu,11,BR,1584526730,94,-12.93,-49.83,70.86,1.66
goya,82,AR,1584526731,97,-29.14,-59.26,70.32,3.31
victoria,20,HK,1584526455,78,22.29,114.16,73.0,9.17
aniva,60,RU,1584526733,43,46.71,142.53,35.6,11.18
bredasdorp,70,ZA,1584526734,50,-34.53,20.04,75.2,10.29
puerto ayora,0,EC,1584526736,89,-0.74,-90.35,73.99,1.99
lavumisa,0,SZ,1584526737,53,-27.31,31.89,78.6,9.26
concepcion del uruguay,67,AR,1584526738,99,-32.48,-58.24,66.99,1.99
chifeng,67,CN,1584526739,61,42.27,118.96,35.58,27.96
kokopo,100,PG,1584526740,76,-4.35,152.26,83.46,9.44
zhigansk,0,RU,1584526741,96,66.77,123.37,-22.56,1.72
bethel,1,US,1584526488,74,41.37,-73.41,39.99,2.51
new norfolk,20,AU,1584526743,49,-42.78,147.06,68.0,12.75
santa rita do passa quatro,0,BR,1584526744,100,-21.71,-47.48,64.4,2.24
cambridge,1,CA,1584526508,92,43.36,-80.31,28.99,3.78
uvira,100,CD,1584526747,94,-3.41,29.15,59.7,0.85
caninde,49,BR,1584526748,96,-4.36,-39.31,69.6,0.96
touros,40,BR,1584526749,100,-5.2,-35.46,75.2,3.36
sambava,9,MG,1584526750,52,-14.27,50.17,90.66,4.85
kesova gora,72,RU,1584526751,75,57.58,37.29,39.52,16.73
tekeli,100,KZ,1584526752,96,44.83,78.82,37.2,5.82
phalaborwa,62,ZA,1584526753,50,-23.94,31.14,78.06,6.35
cotonou,40,BJ,1584526755,79,6.37,2.42,86.0,13.87
ambon,40,ID,1584526756,70,-3.7,128.18,84.2,3.36
hasaki,20,JP,1584526757,66,35.73,140.83,57.2,4.7
butaritari,0,KI,1584526758,77,3.07,172.79,83.82,14.43
chumikan,17,RU,1584526759,86,54.72,135.31,24.42,2.33
inirida,43,CO,1584526760,74,3.87,-67.92,72.82,0.69
georgiyevka,60,KZ,1584526761,45,43.04,74.71,64.4,8.95
mariinsk,100,RU,1584526762,80,56.21,87.75,30.36,22.15
samarai,12,PG,1584526763,86,-10.62,150.67,77.16,5.14
araouane,59,ML,1584526768,9,18.9,-3.53,84.18,11.7
dikson,99,RU,1584526769,98,73.51,80.55,-4.38,4.68
andra,94,RU,1584526770,82,62.51,65.89,28.72,11.1
boralday,75,KZ,1584526771,55,43.36,76.86,62.6,6.71
lastoursville,17,GA,1584526772,60,-0.81,12.73,88.86,1.59
thompson,5,CA,1584526773,75,55.74,-97.86,-20.2,4.92
challapata,100,BO,1584526774,85,-18.9,-66.77,45.82,7.07
asyut,0,EG,1584526540,48,27.18,31.18,60.8,11.41
venustiano carranza,5,MX,1584526776,71,19.43,-99.1,57.2,4.7
launceston,100,AU,1584526777,82,-41.45,147.17,61.0,10.29
labuhan,100,ID,1584526779,73,-6.88,112.21,83.82,9.15
dubai,0,AE,1584526500,35,25.26,55.3,91.4,12.75
grenfell,52,AU,1584526781,34,-33.9,148.17,72.12,1.39
sao joao da barra,66,BR,1584526782,100,-21.64,-41.05,73.4,5.57
stykkisholmur,100,IS,1584526783,83,65.08,-22.73,25.32,21.99
nikolskoye,90,RU,1584526784,86,59.7,30.79,41.0,15.66
saint george,90,US,1584526723,70,37.1,-113.58,48.2,6.93
tynda,55,RU,1584526786,86,55.17,124.72,26.4,4.38
westport,1,US,1584526788,74,41.14,-73.36,44.01,7.96
bud,75,US,1584526789,86,39.45,-86.18,42.01,10.29
bacalar,5,MX,1584526790,96,18.67,-88.38,70.32,3.22
waipawa,0,NZ,1584526791,71,-41.41,175.52,57.2,13.87
bengkulu,100,ID,1584526792,93,-3.8,102.27,77.7,3.11
warrnambool,100,AU,1584526793,64,-38.38,142.48,66.0,3.02
adre,100,TD,1584526794,10,13.47,22.2,86.52,20.89
dwarka,0,IN,1584526795,48,22.24,68.97,83.1,11.95
okhotsk,29,RU,1584526797,90,59.38,143.3,4.98,2.04
quzhou,4,CN,1584526798,68,28.96,118.87,68.32,5.82
cartagena,40,CO,1584526766,83,10.4,-75.51,77.0,9.17
kasama,100,ZM,1584526800,97,-10.21,31.18,64.72,4.54
de haan,75,BE,1584526801,54,51.27,3.04,57.0,17.22
morrope,89,PE,1584526802,29,-6.54,-80.01,66.2,4.7
dole,0,FR,1584526803,72,47.08,5.5,61.0,4.7
hanzhong,100,CN,1584526805,21,33.07,107.03,72.48,5.44
puerto escondido,0,MX,1584526806,69,15.85,-97.07,70.32,3.0
naze,75,JP,1584526807,77,28.37,129.48,66.2,6.93
coruripe,81,BR,1584526808,81,-10.13,-36.18,79.12,9.78
george,20,ZA,1584526713,60,-33.96,22.46,75.2,13.87
campbell river,5,CA,1584526636,65,50.02,-125.24,41.0,3.36
ambanja,40,MG,1584526812,63,-13.68,48.45,89.6,4.7
ipixuna,40,BR,1584526813,100,-1.76,-48.8,73.4,3.36
pevek,100,RU,1584526814,95,69.7,170.31,5.7,8.05
sechura,91,PE,1584526815,88,-5.56,-80.82,74.46,0.27
yuzhno-kurilsk,0,RU,1584526816,71,44.03,145.86,34.5,7.63
ponta do sol,40,PT,1584526817,59,32.67,-17.1,62.6,20.8
malanje,75,AO,1584526818,88,-9.54,16.34,73.4,4.7
erzin,75,TR,1584526819,66,36.96,36.2,53.6,16.11
akureyri,75,IS,1584526821,74,65.68,-18.09,30.2,24.16
tianpeng,57,CN,1584526822,24,30.99,103.94,77.0,2.24
lebu,27,CL,1584526823,97,-37.62,-73.65,50.88,5.03
aitape,100,PG,1584526825,79,-3.14,142.35,83.62,10.22
changping,74,CN,1584526826,14,40.22,116.22,68.0,31.32
monduli,56,TZ,1584526827,63,-3.3,36.45,76.62,4.41
paamiut,100,GL,1584526828,74,61.99,-49.67,21.0,16.44
krasnyy yar,100,RU,1584526829,34,46.53,48.35,48.2,15.66
vao,5,NC,1584526830,72,-22.67,167.48,77.7,20.15
aguas vermelhas,34,BR,1584526831,98,-15.75,-41.46,63.48,0.81
ust-ilimsk,100,RU,1584526832,75,58.0,102.66,26.76,17.16
coquimbo,40,CL,1584526834,87,-29.95,-71.34,55.4,3.36
lompoc,1,US,1584526835,93,34.64,-120.46,43.0,8.81
vallenar,0,CL,1584526836,90,-28.57,-70.76,51.78,1.61
pacific grove,40,US,1584526700,75,36.62,-121.92,45.0,8.05
saint-pierre,40,RE,1584526838,66,-21.34,55.48,87.8,10.29
padang,100,ID,1584526839,95,-0.95,100.35,73.72,2.55
ancud,0,CL,1584526840,87,-41.87,-73.82,46.4,9.17
changji,100,CN,1584526841,22,44.02,87.32,68.0,6.71
ostrovnoy,100,RU,1584526842,92,68.05,39.51,28.02,10.09
acarau,2,BR,1584526800,96,-2.89,-40.12,73.56,3.87
pangai,100,TO,1584526844,81,-19.8,-174.35,80.76,11.21
coihaique,11,CL,1584526846,81,-45.58,-72.07,44.6,5.82
madingou,95,CG,1584526847,74,-4.15,13.55,84.0,2.28
hobart,20,AU,1584526769,49,-42.88,147.33,68.0,12.75
luderitz,0,NA,1584526849,50,-26.65,15.16,75.2,3.36
iwaki,20,JP,1584526850,46,37.05,140.88,52.0,11.41
codrington,100,AU,1584526851,69,-38.27,141.97,65.28,4.14
kutum,79,SD,1584526852,12,14.2,24.67,79.5,14.79
fortuna,90,US,1584526853,87,40.6,-124.16,44.6,11.41
souillac,75,MU,1584526854,62,-20.52,57.52,86.0,17.22
gedo,99,ET,1584526856,52,9.02,37.45,72.12,2.39
richards bay,0,ZA,1584526857,65,-28.78,32.04,76.42,20.42
iskandar,17,UZ,1584526858,31,41.55,69.7,73.4,6.93
teya,88,RU,1584526859,85,60.38,92.63,25.32,17.34
am timan,88,TD,1584526860,9,11.03,20.28,98.92,10.76
saskylakh,100,RU,1584526861,84,71.92,114.08,-6.0,15.79
east london,0,ZA,1584526862,73,-33.02,27.91,71.6,11.41
hoi an,40,VN,1584526798,74,15.88,108.33,80.6,5.82
zhob,77,PK,1584526864,28,31.34,69.45,67.42,4.21
coahuayana,0,MX,1584526865,51,18.73,-103.68,70.86,3.24
aswan,0,EG,1584526867,23,24.09,32.91,69.22,14.43
aripuana,100,BR,1584526868,98,-9.17,-60.63,72.3,0.65
wattegama,75,LK,1584526869,63,6.8,81.48,91.4,8.05
santa maria,75,BR,1584526870,94,-29.68,-53.81,69.8,4.7
yulara,0,AU,1584526871,12,-25.24,130.99,100.4,12.75
goderich,43,CA,1584526738,87,43.75,-81.72,28.99,1.99
guiratinga,21,BR,1584526873,94,-16.35,-53.76,69.96,2.82
vaitape,100,PF,1584526875,70,-16.52,-151.75,83.46,5.82
sarakhs,0,IR,1584526876,49,36.54,61.16,69.8,6.93
homer,90,US,1584526877,80,59.64,-151.55,35.6,13.87
kaitangata,100,NZ,1584526878,82,-46.28,169.85,54.0,3.0
kodinsk,100,RU,1584526879,90,58.69,99.18,30.9,16.28
mago,96,RU,1584526880,95,53.25,140.18,23.32,2.39
karpathos,0,GR,1584526881,38,35.51,27.21,60.8,28.86
oxford,75,GB,1584526779,87,51.75,-1.26,55.0,14.99
shiyan,97,CN,1584526883,11,32.65,110.78,76.26,6.82
nacala,75,MZ,1584526884,49,-14.54,40.67,91.4,5.82
kruisfontein,0,ZA,1584526886,60,-34.0,24.73,72.82,20.0
palmer,1,US,1584526887,55,42.16,-72.33,36.0,5.82
anaconda,90,US,1584526888,79,46.13,-112.94,26.6,4.7
beloha,28,MG,1584526889,41,-25.17,45.05,83.28,10.11
aleksandrov gay,15,RU,1584526890,33,50.15,48.57,46.72,3.78
geraldton,100,AU,1584526891,49,-28.77,114.6,71.6,20.8
puerto madryn,0,AR,1584526679,71,-42.77,-65.04,53.58,9.19
taree,0,AU,1584526893,77,-31.9,152.47,66.2,8.05
namatanai,100,PG,1584526894,75,-3.67,152.43,83.28,5.66
esmeraldas,0,BR,1584526895,94,-19.76,-44.31,68.0,2.57
camacupa,100,AO,1584526897,91,-12.02,17.48,66.52,3.42
ixtapa,5,MX,1584526898,88,20.7,-105.2,72.0,4.56
sakakah,0,SA,1584526709,34,29.97,40.21,62.6,19.46
kavaratti,2,IN,1584526900,68,10.57,72.64,83.62,6.4
dubbo,12,AU,1584526901,60,-32.25,148.62,68.0,4.27
macapa,75,BR,1584526902,100,0.04,-51.07,77.0,2.24
hambantota,75,LK,1584526903,63,6.12,81.12,91.4,8.05
kununurra,36,AU,1584526904,41,-15.77,128.73,91.4,5.82
khatanga,100,RU,1584526906,88,71.97,102.5,-4.56,7.34
teseney,14,ER,1584526907,12,15.11,36.66,92.28,4.72
sao filipe,35,CV,1584526908,75,14.9,-24.5,66.9,18.3
tuy hoa,41,VN,1584526909,77,13.08,109.3,78.78,6.8
menongue,100,AO,1584526910,89,-14.66,17.69,67.8,5.99
karwar,14,IN,1584526911,68,14.8,74.13,85.42,10.67
nanortalik,100,GL,1584526912,68,60.14,-45.24,25.12,9.24
pirogovo,100,RU,1584526913,96,56.78,53.15,33.96,9.42
alofi,100,NU,1584526915,78,-19.06,-169.92,82.4,6.93
chokurdakh,25,RU,1584526916,94,70.63,147.92,-24.54,9.24
byron bay,21,AU,1584526917,68,-28.65,153.62,70.0,8.05
killin,90,US,1584526918,93,33.61,-91.74,55.4,4.27
korla,99,CN,1584526919,21,41.76,86.15,49.98,5.12
avera,90,US,1584526920,91,33.19,-82.53,59.0,2.66
camara de lobos,40,PT,1584526921,59,32.63,-16.97,62.6,20.8
fairfield,1,US,1584526922,92,41.27,-73.32,43.0,2.51
chara,100,RU,1584526923,77,56.91,118.26,28.38,0.27
salalah,75,OM,1584526745,65,17.02,54.09,80.6,12.75
watsa,100,CD,1584526926,61,3.04,29.54,77.16,3.27
katherine,44,AU,1584526927,45,-14.47,132.27,87.8,8.05
naryan-mar,97,RU,1584526928,91,67.67,53.09,27.3,12.37
kaeo,0,NZ,1584526929,79,-35.1,173.78,57.99,4.0
edd,36,ER,1584526930,56,13.93,41.69,88.12,5.57
constitucion,0,CL,1584526931,77,-35.33,-72.42,53.92,3.65
urucara,98,BR,1584526932,98,-2.54,-57.76,74.1,1.9
sakaiminato,20,JP,1584526934,62,35.55,133.23,55.4,6.93
doha,40,QA,1584526704,54,25.29,51.53,88.0,14.99
dali,0,CN,1584526936,24,25.7,100.18,68.7,13.44
andros town,40,BS,1584526884,77,24.7,-77.77,69.8,4.7
pangkalanbuun,100,ID,1584526938,88,-2.68,111.62,78.78,1.59
basco,0,PH,1584526939,74,20.45,121.97,75.36,14.34
lianran,3,CN,1584526940,43,24.92,102.48,72.0,20.83
bambanglipuro,100,ID,1584526941,89,-7.95,110.28,78.6,2.48
pismo beach,1,US,1584526942,86,35.14,-120.64,42.01,6.93
novaya malykla,47,RU,1584526944,91,54.2,49.95,36.48,13.0
bocas del toro,33,PA,1584526945,70,9.33,-82.25,63.0,7.0
quixada,47,BR,1584526714,97,-4.97,-39.02,71.92,1.43
campina verde,27,BR,1584526947,94,-19.54,-49.49,69.06,3.18
lluta,90,PE,1584526948,93,-16.01,-72.01,53.6,1.12
kidal,29,ML,1584526949,7,18.44,1.41,90.82,10.71
koulamoutou,17,GA,1584526950,60,-1.13,12.47,88.86,1.59
beeville,40,US,1584526951,100,28.4,-97.75,73.0,6.93
poum,6,NC,1584526953,75,-20.23,164.02,80.02,23.04
ayia trias,20,GR,1584526954,41,38.35,22.92,60.01,5.82
yatou,0,CN,1584526955,73,37.15,122.38,50.88,19.55
mercedes,23,AR,1584526956,99,-34.65,-59.43,64.99,3.0
deputatskiy,0,RU,1584526957,88,69.3,139.9,-25.08,4.79
ouesso,99,CG,1584526958,50,1.61,16.05,89.58,3.83
kuito,75,AO,1584526959,68,-12.38,16.93,71.6,11.41
oriximina,100,BR,1584526960,91,-1.77,-55.87,76.42,6.89
soe,25,ID,1584526961,73,-9.86,124.28,80.4,6.98
mattru,85,SL,1584526963,80,7.62,-11.83,80.58,3.71
paredon,0,MX,1584526964,72,16.03,-93.87,80.58,9.19
harnosand,100,SE,1584526965,52,62.63,17.94,42.8,5.82
astoria,90,US,1584526852,93,46.19,-123.83,43.0,7.92
rivadavia,0,AR,1584526967,48,-33.19,-68.46,64.4,4.7
tabou,100,CI,1584526968,77,4.42,-7.35,83.46,6.06
daru,1,PG,1584526969,85,-9.08,143.21,78.06,4.47
manono,100,CD,1584526970,98,-7.3,27.42,69.96,5.48
deder,89,ET,1584526972,35,9.32,41.45,81.66,2.35
sumbe,75,AO,1584526973,60,-11.21,13.84,84.2,9.17
port hedland,9,AU,1584526974,56,-20.32,118.57,93.2,13.87
concepcion batres,69,SV,1584526975,79,13.35,-88.37,70.68,2.55
nelson bay,0,AU,1584526976,72,-32.72,152.15,68.0,8.05
tongliao,100,CN,1584526977,35,43.61,122.27,49.42,19.04
hastings,75,GB,1584526978,87,50.86,0.57,54.0,19.46
novikovo,0,RU,1584526980,37,51.15,37.89,44.22,7.99
winnemucca,1,US,1584526981,79,40.97,-117.74,30.0,5.82
san quintin,69,MX,1584526982,67,30.48,-115.95,58.08,8.46
caravelas,33,BR,1584526983,76,-17.71,-39.25,80.58,3.42
caiaponia,0,BR,1584526984,94,-16.96,-51.81,66.72,1.86
lovozero,90,RU,1584526985,85,68.0,35.01,29.62,1.88
qaqortoq,100,GL,1584526986,31,60.72,-46.03,21.2,16.11
fonte boa,100,BR,1584526987,98,-2.5,-66.27,72.3,3.2
sarangani,18,PH,1584526988,80,5.4,125.46,81.48,23.51
axim,100,GH,1584526989,71,4.87,-2.24,85.8,8.12
gisborne,0,NZ,1584526991,95,-38.65,178.0,50.0,1.99
half moon bay,90,US,1584526860,87,37.46,-122.43,48.99,6.11
shankargarh,0,IN,1584526925,16,25.18,81.62,90.3,9.04
port hawkesbury,90,CA,1584526994,98,45.62,-61.35,35.01,16.11
zeist,75,NL,1584526991,71,52.09,5.23,57.0,19.46
gigmoto,0,PH,1584526996,78,13.78,124.39,80.02,12.66
yumen,15,CN,1584526997,10,40.28,97.2,59.32,19.91
el limon,89,VE,1584526998,86,10.31,-67.63,67.62,4.14
mitsamiouli,40,KM,1584527000,62,-11.38,43.28,89.6,8.05
pisco,80,PE,1584527001,83,-13.7,-76.22,71.6,2.17
cananea,0,MX,1584527002,40,30.95,-110.3,51.01,3.0
zhezkazgan,40,KZ,1584527003,60,47.8,67.71,39.2,8.95
shakawe,100,BW,1584527004,71,-18.37,21.85,74.1,10.07
ucluelet,0,CA,1584526877,90,48.93,-125.55,34.0,3.4
kolosovka,100,RU,1584526923,82,56.47,73.61,30.0,15.23
coleraine,75,GB,1584527007,86,55.13,-6.67,43.0,12.75
longyearbyen,20,SJ,1584527009,68,78.22,15.64,-18.4,8.05
oranjemund,5,NA,1584527010,59,-28.55,16.43,69.6,9.8
noumea,2,NC,1584526865,73,-22.28,166.46,75.2,8.05
chapais,20,CA,1584527012,84,49.78,-74.85,-2.2,5.82
brooks,100,CA,1584526742,94,50.58,-111.89,13.42,6.4
severo-kurilsk,94,RU,1584527014,77,50.68,156.12,18.3,22.26
gat,75,IL,1584527015,54,31.61,34.76,63.0,17.22
santiago,0,CL,1584526816,71,-33.46,-70.65,55.4,2.24
krutikha,100,RU,1584527017,90,53.96,81.21,29.82,18.01
lucea,20,JM,1584527019,78,18.45,-78.17,75.2,6.93
saint-ambroise,20,CA,1584527020,61,48.55,-71.33,14.0,13.87
aklavik,40,CA,1584527021,72,68.22,-135.01,17.6,9.17
manica,0,FR,1584527022,66,49.0,-1.17,55.4,6.93
keti bandar,0,PK,1584527023,24,24.14,67.45,87.78,9.8
